System time,Bundles in storage,Bundles sent,Bundles received,Bundles forwarded,Bundles retransmitted,Bundles Delivered,Ack sent,Ack received
4003538, 0, 0, 0, 0, 0, 0, 0, 0
6006955, 0, 0, 0, 0, 0, 0, 0, 0
8010372, 0, 0, 0, 0, 0, 0, 0, 0
10013789, 0, 0, 0, 0, 0, 0, 0, 0
12017293, 0, 0, 0, 0, 0, 0, 0, 0
14020797, 0, 0, 0, 0, 0, 0, 0, 0
16024301, 0, 0, 0, 0, 0, 0, 0, 0
18027805, 0, 0, 0, 0, 0, 0, 0, 0
20031309, 0, 0, 0, 0, 0, 0, 0, 0
22034813, 0, 0, 0, 0, 0, 0, 0, 0
24038317, 0, 0, 0, 0, 0, 0, 0, 0
26041821, 0, 0, 0, 0, 0, 0, 0, 0
28045325, 0, 0, 0, 0, 0, 0, 0, 0
30048829, 1, 0, 0, 0, 0, 0, 0, 0
32052333, 0, 1, 0, 0, 0, 0, 0, 0
34055838, 0, 1, 0, 0, 0, 0, 0, 0
36059342, 0, 1, 0, 0, 0, 0, 0, 0
38062846, 0, 1, 0, 0, 0, 0, 0, 0
40066350, 0, 1, 0, 0, 0, 0, 0, 0
42069854, 0, 1, 0, 0, 0, 0, 0, 0
44073358, 0, 1, 0, 0, 0, 0, 0, 0
46076862, 0, 1, 0, 0, 0, 0, 0, 0
48080366, 0, 1, 0, 0, 0, 0, 0, 0
50083870, 0, 1, 0, 0, 0, 0, 0, 0
52087374, 0, 1, 0, 0, 0, 0, 0, 0
54090878, 0, 1, 0, 0, 0, 0, 0, 0
56094382, 0, 1, 0, 0, 0, 0, 0, 0
58097886, 0, 1, 0, 0, 0, 0, 0, 0
60101390, 0, 1, 0, 0, 0, 0, 0, 0
62104894, 0, 2, 0, 0, 0, 0, 0, 0
64108399, 0, 2, 0, 0, 0, 0, 0, 0
66111903, 0, 2, 0, 0, 0, 0, 0, 0
68115407, 0, 2, 0, 0, 0, 0, 0, 0
70118911, 0, 2, 0, 0, 0, 0, 0, 0
72122415, 0, 2, 0, 0, 0, 0, 0, 0
74125919, 0, 2, 0, 0, 0, 0, 0, 0
76129423, 0, 2, 0, 0, 0, 0, 0, 0
78132927, 0, 2, 0, 0, 0, 0, 0, 0
80136431, 0, 2, 0, 0, 0, 0, 0, 0
82139935, 0, 2, 0, 0, 0, 0, 0, 0
84143439, 0, 2, 0, 0, 0, 0, 0, 0
86146943, 0, 2, 0, 0, 0, 0, 0, 0
88150447, 0, 2, 0, 0, 0, 0, 0, 0
90153951, 0, 2, 0, 0, 0, 0, 0, 0
92157455, 0, 3, 0, 0, 0, 0, 0, 0
94160960, 0, 3, 0, 0, 0, 0, 0, 0
96164464, 0, 3, 0, 0, 0, 0, 0, 0
98167968, 0, 3, 0, 0, 0, 0, 0, 0
100171472, 0, 3, 0, 0, 0, 0, 0, 0
102175064, 0, 3, 0, 0, 0, 0, 0, 0
104178656, 0, 3, 0, 0, 0, 0, 0, 0
106182248, 0, 3, 0, 0, 0, 0, 0, 0
108185840, 0, 3, 0, 0, 0, 0, 0, 0
110189432, 0, 3, 0, 0, 0, 0, 0, 0
112193024, 0, 3, 0, 0, 0, 0, 0, 0
114196616, 0, 3, 0, 0, 0, 0, 0, 0
116200208, 0, 3, 0, 0, 0, 0, 0, 0
118203800, 0, 3, 0, 0, 0, 0, 0, 0
120207392, 0, 3, 0, 0, 0, 0, 0, 0
122210984, 0, 4, 0, 0, 0, 0, 0, 0
124214576, 0, 4, 0, 0, 0, 0, 0, 0
126218168, 0, 4, 0, 0, 0, 0, 0, 0
128221760, 0, 4, 0, 0, 0, 0, 0, 0
130225352, 0, 4, 0, 0, 0, 0, 0, 0
